input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,output11,output12,output13,output14,output15,output16,output17
285827.870000,7.597829,0.059814,-1.101519,-21.622542,-5.636558,-35.606580,-1.545550,-8.909711,6.463975,190759.230000,217.109790,174.360530,799.408920,296.720350,321.474560,199.114390,460.730660,301.262870,426.930920,1道,1类,285767.570000,285756.010000,285767.570000,285767.570000,2171790.700000,55270053000.000000,248847.340000,2397039.000000,3175324.400000,-1825392.800000,261185400000.000000,14929130999999999911106876294519848960.000000,-54.844737,81697570000.000000,285830.370000,-59.974024,-60.114006
263248.750000,-3.158665,-0.008807,4.542392,22.570803,0.997721,-21.407284,-14.068202,-63.739735,4.080264,305426.660000,334.878770,443.787490,-39.600572,280.300400,489.705670,24.740585,75.086656,-26.524984,346.848550,1道,1类,263178.560000,263193.770000,263178.560000,263178.560000,-831451.000000,-58673874000.000000,-86895.450000,30878025.000000,19926102.000000,30158828.000000,1003239600000.000000,27911730000000000000.000000,-64.771149,69299905000.000000,263175.560000,-69.914292,-70.045552
179894.530000,19.423571,-2.925052,-0.014073,-25.070284,-2.563527,-34.917239,-4.535895,38.038576,15.471091,240955.550000,65.437164,374.555400,628.181940,231.965570,163.022030,164.576000,329.301980,32.382832,659.739310,1道,1类,179897.440000,179841.880000,179897.440000,179897.440000,3495005.300000,861605470000.000000,356320960.000000,4609418.900000,7065253.900000,-18786428.000000,-2702136900000.000000,-306950879999999963823817438250514616589831740823726608624320987100409248137114710029334582940097301140708997646938854778316411895989873656403158194703035476102680253424853843968.000000,8.162187,32362042000.000000,179958.280000,3.036628,2.953749
355340.460000,6.535667,-3.554411,2.487855,-26.430996,2.581793,-33.699931,-3.276308,-23.265766,6.300199,345896.760000,76.312454,12.127470,252.394050,182.747120,56.755106,92.774198,358.640770,588.936200,831.665870,1道,1类,355268.130000,355238.870000,355268.130000,355268.130000,2322273.700000,-22680238000000.000000,-30206240.000000,-3814461700.000000,6086872400.000000,5265890200.000000,-108143160000000000.000000,-218551639999999995093534474610323488768.000000,-66.771252,126266840000.000000,355323.220000,-71.816787,-71.962909
264516.800000,14.772508,3.740362,-1.538917,-41.313893,-3.468804,30.624705,6.142184,17.194142,6.470201,171887.210000,9.950034,390.079920,383.933050,179.959720,613.443680,-38.317680,475.820210,33.980305,231.154950,1道,1类,264549.420000,264504.670000,264549.420000,264549.420000,3908013.500000,-67453597000000.000000,-6867927.900000,1601074000.000000,-4717202500.000000,4662582700.000000,-104872770000000000.000000,-2435691499999999978262546600296468968028078640406808977882402026402011099547219982251678638669282243712543619022848.000000,38.044943,69969136000.000000,264563.790000,32.902390,32.770573
377347.070000,17.695383,-3.147739,-1.602858,9.253743,-3.266159,15.886718,-4.343104,52.762520,-11.316460,364990.760000,546.073340,407.894820,648.798860,297.114200,637.767330,107.359790,12.159189,700.402930,233.207240,1道,1类,377418.990000,377424.660000,377418.990000,377418.990000,6676609.600000,-41948841000000.000000,-2023548.900000,-328485450.000000,2623371900.000000,14519186000.000000,489144210000000000.000000,30900607999999999520636898620643365606213110236576101017127647764180024293578174649755064062007538691879176169476426212253116917773908389688455047541686272.000000,77.498785,142390810000.000000,377395.310000,72.491655,72.351944
431515.230000,19.291352,-3.986040,1.843552,-23.345177,4.100478,8.442705,-9.009860,-36.413639,9.857492,244216.280000,165.728960,325.358270,146.058300,124.486670,81.879888,89.174765,466.097510,719.933440,212.846850,1道,1类,431486.010000,431433.840000,431486.010000,431486.010000,8323974.000000,159888610000000.000000,953111.480000,131524540000.000000,92299685000.000000,-61629251000.000000,3770010800000000000.000000,2139133399999999833020000331985667187767616686436749997802081069678487336122663317792720151523310964034418870044106239842651023904409284235289435150727684887931109839476531179561156608.000000,-23.584142,186205390000.000000,431496.660000,-28.474253,-28.576252
405198.320000,10.361112,-3.441830,-4.652369,8.997334,-5.651309,35.701953,6.360170,4.848183,-6.231368,267570.540000,169.698450,353.664450,353.688370,56.697992,373.375280,183.568640,359.428330,382.168620,844.597040,1道,1类,405244.610000,405244.240000,405244.610000,405244.610000,4198467.300000,23448959000000.000000,201168.570000,2879699600.000000,3934059500.000000,1786952700.000000,120129750000000000.000000,552913929999999978660129290470316565082566998103540155678241849344.000000,51.899544,164185680000.000000,405206.370000,46.948675,46.824167
445207.980000,14.242425,2.190142,-4.301689,-24.547889,3.738802,-13.169290,-14.997858,-30.986167,-3.756703,199386.630000,401.200700,326.853680,120.482320,224.202860,472.639170,190.318000,272.677940,719.413980,171.700640,1道,1类,445136.390000,445146.540000,445136.390000,445136.390000,6341054.000000,126058220000000.000000,756812.120000,18360255000.000000,26998486000.000000,-39217419000.000000,2342810700000000000.000000,3630844299999999845538400049412288841483922058536366780348855366390507433372421177915683919587548652896256.000000,-65.939665,198210140000.000000,445170.910000,-70.795319,-70.882180
452726.410000,19.868634,-0.831831,5.124004,-9.011906,-1.602580,32.158541,-5.744998,-20.204094,-19.016130,232043.460000,510.953780,345.763290,538.741960,308.389110,414.983790,146.273540,490.516950,635.175080,831.140750,1道,1类,452727.150000,452729.890000,452727.150000,452727.150000,8995265.100000,39303609000000.000000,123712.600000,22949451000.000000,729665840.000000,794932920.000000,-30477459000000000.000000,-618463299999999981184846124739185449951902607940266444774171450168235012068336272698924979986447825023100824266064928110447590172356643494454480186081719398391000652293519166380668092416.000000,6.395476,204961200000.000000,452705.910000,1.559555,1.482066
74568.767000,10.252658,4.437336,3.939370,-15.244292,0.395103,-31.035323,-2.404358,-53.875867,12.134867,171132.390000,245.132490,212.238820,41.520992,161.222740,194.787940,148.202840,25.677634,249.974730,872.854520,1道,1类,74497.366000,74448.731000,74497.366000,74497.366000,763960.320000,3926854000000.000000,18114630.000000,-1343367500.000000,-3221251700.000000,-8050859600.000000,-107593180000000000.000000,-82953079999999990717496561099563512995975683626394065595262123900928.000000,-66.527949,5560500900.000000,74544.655000,-71.378262,-71.397188
153625.260000,13.950680,-2.412250,1.549109,-29.850524,-1.759564,-4.726285,-1.500084,-68.943703,-6.386991,228939.940000,6.698940,405.743120,-74.593508,269.510330,33.948736,-1.504468,114.993710,738.186720,-16.332042,1道,1类,153525.180000,153513.470000,153525.180000,153525.180000,2143673.100000,-1313244900000.000000,-9893659.500000,-5195608300.000000,-992582350.000000,-13793670.000000,110469400000000.000000,109491590000000010968694435029653976158348959475255949189251908999390707082108272407749688565956608.000000,-94.893150,23600719000.000000,153562.340000,-99.985201,-100.050600
326436.070000,7.173854,-1.771764,-5.496972,11.386793,-0.079941,-32.714371,-10.251267,-60.498419,-15.224566,232709.750000,346.748120,678.652870,-68.930201,288.403540,540.982120,-50.661042,165.218490,777.186760,149.165630,1道,1类,326328.600000,326376.360000,326328.600000,326328.600000,2343070.000000,-6412962700000.000000,-26492146.000000,15311829000.000000,-191129750000.000000,53380946000.000000,1217492400000000000.000000,3900076600000000007352216503540768571392.000000,-101.962860,106560510000.000000,326350.350000,-107.050380,-107.198340
197135.290000,12.531025,2.728290,-2.190774,-30.568595,-0.297434,48.095008,-6.703725,-60.601679,-6.220608,250331.860000,191.714570,445.962320,127.553090,92.993321,355.708650,28.233637,119.779760,400.939750,747.630950,1道,1类,197092.070000,197097.830000,197092.070000,197092.070000,2470365.000000,16316960000000.000000,140731370.000000,6766261700.000000,-22073938000.000000,-15091169000.000000,222824040000000000.000000,51131637000000003569153990207024016812214202563348448613918886794401542014581646295040.000000,-37.933728,38862324000.000000,197075.980000,-43.073030,-43.167195
344531.360000,7.362008,-3.880768,4.925564,-22.765755,0.192110,26.308104,-5.995751,48.283622,10.670912,249320.950000,397.444830,184.014930,-49.956051,50.965508,616.701620,170.846570,351.732270,303.896800,222.612780,1道,1类,344596.460000,344562.150000,344596.460000,344596.460000,2536776.600000,-17233180000000.000000,-86750168.000000,18458139000.000000,94896137000.000000,39611651000.000000,-1920532400000000000.000000,-2822417000000000029416143130402614433661583360.000000,70.637275,118701860000.000000,344594.790000,65.574894,65.427260
117112.950000,17.679611,0.033154,3.716382,27.503622,3.430689,-40.363908,-6.478622,61.992722,-10.864249,178133.100000,263.876430,173.220210,139.786870,210.019730,37.539920,35.313303,232.665940,491.557080,23.364846,1道,1类,117169.600000,117154.630000,117169.600000,117169.600000,2070193.900000,-4239559000000.000000,-16842.519000,101460300.000000,341124520.000000,660395590.000000,168475720000000.000000,2740585200000000181010364993705708131564557852217731315744076527991260814564063373462611169800200157231462287921010237717082384221423567518330444054528.000000,61.718006,13715443000.000000,117177.880000,56.704267,56.662253
148425.880000,25.700598,-3.549092,-1.455431,-32.915561,-5.481795,40.454260,-11.234265,45.957305,-10.509865,368304.840000,513.254280,28.495444,-15.952818,182.839950,296.618080,-32.097444,337.857060,695.909070,33.375901,1道,1类,148472.850000,148478.810000,148472.850000,148472.850000,3813882.000000,780452590000000.000000,1331519.500000,-28873600000.000000,-27964563000.000000,68725152000.000000,1354183700000000000.000000,3487076999999999991130318774567230797439982750232752914550237397506646375854243323030825855190530638958987177230214842704972787999012207465685669318154033931477918445402200847347622421480191109357719614958114857770412041147925016475647253490435512673440581469086284345794914847365023768832035703848853045248.000000,52.137663,22030243000.000000,148469.560000,47.054282,46.992316
269562.420000,-0.305956,-0.893012,-2.843251,-13.419108,-1.800684,13.400999,-1.459940,55.997761,-14.838222,332588.540000,360.119950,57.064386,113.583610,222.546540,172.548240,78.155412,448.362550,72.554012,861.705260,1道,1类,269596.260000,269638.750000,269596.260000,269596.260000,-83297.951000,-82257673000.000000,-71436466.000000,-138034930.000000,-32303653.000000,-29269929.000000,6129318600000.000000,200157140000000.000000,39.269246,72663897000.000000,269597.770000,34.129267,33.995307
87790.951000,5.639881,-0.563632,-2.613502,25.928462,4.182818,25.346978,-3.348968,50.031177,-19.583181,302166.200000,193.191820,446.125810,125.328390,-3.704380,584.784400,122.607600,325.747070,342.036630,139.640050,1道,1类,87875.971000,87907.417000,87875.971000,87875.971000,494175.800000,6578777800000.000000,402377.180000,-313678370.000000,-183608680.000000,-843884770.000000,-615490790000000.000000,-5455173800000000359810465792.000000,89.963483,7707251200.000000,87821.699000,85.050865,85.025447
436004.080000,11.702895,6.288402,-3.990153,5.453974,3.680662,8.909572,4.349233,48.851730,-11.998130,345117.840000,352.999890,346.237620,547.151540,306.719380,616.780440,-4.493553,504.374960,369.541530,-68.327806,1道,1类,436077.320000,436069.840000,436077.320000,436077.320000,5101957.400000,58373510000000.000000,725680.610000,60872527000.000000,101765300000.000000,-179729340000.000000,23010855000000000000.000000,191426200000000008597778824874867689674176220987990898942073478787606037471844395243383291904.000000,78.887675,190099550000.000000,436056.810000,74.008647,73.911342
290570.340000,28.272302,-1.763506,0.621983,28.784950,-0.610846,-46.134100,-11.286126,10.319663,8.607630,237311.600000,89.147436,95.623123,163.360850,77.799545,196.282370,115.895900,128.409710,515.584810,680.079660,1道,1类,290587.160000,290535.950000,290587.160000,290587.160000,8215683.400000,7327925500000.000000,6729479.600000,-2116686600.000000,3023068500.000000,1984970800.000000,-17886372000000000.000000,-inf,22.275202,84431125000.000000,290604.900000,17.149704,17.008242
84378.658000,25.217423,3.388868,3.776771,12.402084,4.636917,28.765177,-13.781442,-56.739002,-1.960724,234380.330000,301.959210,268.651260,236.814280,190.166640,478.171330,98.164018,43.446153,106.082140,559.517900,1道,1类,84384.364000,84348.586000,84384.364000,84384.364000,2127597.500000,-69070499000000.000000,-485030.200000,3209749300.000000,242707770.000000,454108080.000000,12367101000000000.000000,246743410000000006277338346170431156913414014717383504095056405325781044432998340254275338275791220790999555407734429691767795417694422220706009585558714013115768914457502691830868848672314723163861118332444535093170144093149171271118747023650000590067570014035418850776714312339755587977871360.000000,10.632305,7119758000.000000,84337.439000,5.734554,5.710879
103899.940000,19.546535,6.719419,5.957487,-45.663654,-1.484637,-49.988576,-1.979426,16.722842,-16.413797,234857.990000,372.199400,669.886220,88.037637,75.160066,129.420130,-44.148438,391.743580,194.821690,664.297550,1道,1类,103833.360000,103822.110000,103833.360000,103833.360000,2030816.100000,-149692570000000.000000,-4744570.300000,11957292000.000000,-1032783900.000000,-3633908000.000000,-295429520000000000.000000,-5914282299999999926758878386402599734673015496213979106775657054877170390127934995961667938947011206042462920224331934187270946286321916906138341540562101288612703359708907630743106101746539905941504.000000,-61.567192,10795198000.000000,103930.550000,-66.540622,-66.574833
79138.922000,25.074945,-1.021820,-0.182581,-25.460076,2.825464,-8.316484,-11.444238,-16.309614,12.567467,320743.730000,284.549460,492.166510,806.472870,64.038082,293.584780,0.327328,500.859570,565.828520,320.835290,1道,1类,79116.655000,79058.973000,79116.655000,79116.655000,1984222.600000,519549340000.000000,150102.770000,77686363.000000,-237501530.000000,-118411120.000000,-43838097000000.000000,-219779190000000015096480739107962652887175470630929714909282516320139440545352908163555862348275956456927358298875110488437966754434717709024505860291385418696712678210061275495029927574355705966995777112306620241867060675563148318815351813870417846867415970303209216426714809019400192.000000,-17.368547,6262968900.000000,79145.888000,-22.241883,-22.262971
120055.250000,-3.366383,3.355571,1.160901,-12.598658,5.129285,42.308832,-7.994089,-38.474684,-13.670918,272438.250000,311.583170,537.588970,660.665540,123.083240,186.833930,-13.368385,70.566875,524.739990,245.000680,1道,1类,120031.100000,120068.590000,120031.100000,120031.100000,-404024.940000,-18099227000000.000000,-3771342.100000,-194366370.000000,86075975.000000,8868491.300000,-13962267000000.000000,-709327659999999950848.000000,-19.070762,14413264000.000000,119996.540000,-24.092485,-24.136298
233357.770000,18.281791,-3.347064,-1.735149,-41.363805,5.474209,19.458848,3.442018,66.018163,-15.632958,152357.600000,25.704127,545.265950,793.579480,242.421950,375.686670,41.930069,229.730070,-11.749488,904.539680,1道,1类,233408.360000,233388.700000,233408.360000,233408.360000,4265012.100000,387809540000000.000000,4441769.900000,18207703000.000000,-17368740000.000000,-24888371000.000000,-616649340000000000.000000,-171231279999999996374145926449173173633679380294313299752381949759354008144079879538545366604911765931810030964454573329092558686492965117379162319236223668997586944.000000,55.964075,54455848000.000000,233426.810000,50.813895,50.697727
168802.360000,27.290357,5.419924,-2.852723,29.022945,4.756826,-39.588720,-5.450814,23.246275,-5.021851,206762.160000,89.065477,238.805690,761.203500,230.502230,350.225610,57.175760,104.989990,546.634290,638.916140,1道,1类,168839.180000,168801.740000,168839.180000,168839.180000,4606898.300000,247713320000000.000000,2410608.700000,29264476000.000000,-1301293600.000000,-429519500.000000,30593095000000000.000000,inf,42.049598,28494236000.000000,168844.040000,36.936206,36.860704
122147.470000,7.689916,-2.165243,1.639483,-45.553008,0.612315,3.940907,5.064536,-23.483938,-3.872845,297001.810000,112.859190,157.200620,-72.400697,298.984710,401.500250,194.169630,68.527544,395.586730,554.196330,1道,1类,122091.340000,122069.080000,122091.340000,122091.340000,939383.230000,168829670000.000000,7363795.800000,-632841870.000000,-901008340.000000,-876273130.000000,2921858000000000.000000,55057201999999994672281475768588305432576.000000,-51.040991,14920005000.000000,122131.460000,-56.068191,-56.113295
246631.810000,-0.820007,3.142196,4.830582,-37.899155,-2.575582,13.579626,-0.247655,4.180878,3.126599,160092.650000,40.595826,146.935110,690.992390,176.825980,101.089440,134.391270,245.725930,317.029010,758.339010,1道,1类,246619.120000,246610.500000,246619.120000,246619.120000,-202117.420000,13172805000.000000,211084360.000000,898614.120000,1414349.100000,881887.970000,-2707154400000.000000,-15502343000000000.000000,-7.290468,60827248000.000000,246645.510000,-12.439188,-12.562487
99123.540000,16.766537,-3.089013,-3.072300,-40.436905,-5.529463,-15.552499,7.917052,-58.455854,9.822761,342450.270000,26.428007,206.719220,256.840010,45.131326,60.173729,165.963950,373.500550,534.540620,148.465170,1道,1类,99031.911000,98980.101000,99031.911000,99031.911000,1661494.300000,249338690000000.000000,508177.620000,-2985306700.000000,-3180687400.000000,-20294255000.000000,-320093340000000000.000000,-203354029999999993159572046730113753577910911871086956058763301125939165683560385690022796469576986880013559477520801082911850566745224904704.000000,-86.633508,9825476100.000000,99092.778000,-91.590379,-91.621892
50258.501000,24.474500,-1.569050,0.975165,-30.168331,-1.010388,-2.976707,3.293238,9.323288,4.426141,172014.380000,229.711270,219.196220,372.747390,268.529460,187.262070,145.451770,96.722625,587.465680,885.908390,1道,1类,50265.269000,50200.951000,50265.269000,50265.269000,1230112.100000,23207646000.000000,187834.030000,-33719612.000000,21159691.000000,127164410.000000,-239333590000000.000000,-264479200000000024833521189207734272603075635610920180759079453438777271215742040570874876248809141284638991404467041960796840861544568888931714720222071385224629807529398044029677121247464683849229851457460967535425118404195935548384740471672695189807944185788251798241280.000000,11.469067,2525916900.000000,50299.917000,6.777962,6.768873
469112.760000,17.796914,-2.811429,-4.906445,-9.717230,4.300078,24.586370,-14.161461,68.563386,-2.557649,236912.070000,104.807480,81.858807,676.020090,30.939950,214.015430,164.526430,446.500230,134.632910,183.584600,1道,1类,469193.850000,469192.910000,469193.850000,469193.850000,8348208.100000,-293812630000000.000000,-1588534.000000,39251292000.000000,17167782000.000000,-28230741000.000000,-3251159200000000000.000000,-1260021300000000100292556668532929882718420132453656439642701875240508948691708968338397521408715290215813633132066178524306629278646805688265087776492355584.000000,86.763812,220066780000.000000,469175.420000,81.972877,81.918529
449538.240000,16.651909,-2.356820,-1.326566,22.567547,4.269498,49.475498,-7.679719,65.882582,8.371521,377438.540000,486.802490,506.957510,525.955990,-1.855451,79.317336,65.583510,349.252600,-30.456047,702.671940,1道,1类,449694.090000,449653.520000,449694.090000,449694.090000,7485941.100000,-472560570000000.000000,-12853428.000000,34674723000.000000,16446805000.000000,-16296623000.000000,-381402400000000000.000000,-169805389999999999857978299079691170520383931270297394305474979526550590569177355511074066444035342092650911267797765135397846078380310528.000000,161.508220,202084630000.000000,449617.510000,156.663860,156.582300
407495.430000,24.202264,-2.067424,-0.116958,29.421454,-4.565218,-6.950959,-6.471709,-24.040596,7.395253,373564.530000,254.746650,537.339410,302.619170,305.113840,138.716330,137.170090,95.754467,2.504255,431.984170,1道,1类,407512.230000,407471.350000,407512.230000,407512.230000,9862045.100000,2561681600000.000000,6697113.800000,1532109200.000000,-227124360.000000,287995920.000000,686789870000000.000000,4812207800000000749564161398459106304973102580668716072743991408222208151132785127896960590144565163702380296968929482920437798906264397655297915370599417004939820900384411835625998722329102293548921193677289556498758555348847994726880444083253669852027114376742830080.000000,22.416230,166052520000.000000,407494.060000,17.470374,17.347501
349511.990000,-3.754514,5.196028,5.429158,-33.650059,4.886948,-42.733381,1.841399,-59.561523,0.790559,282972.090000,348.451040,519.677030,165.227740,89.968708,603.889080,0.536985,318.887490,243.726360,858.188490,1道,1类,349390.440000,349372.050000,349390.440000,349390.440000,-1312509.600000,22555805000000.000000,1072621800.000000,2362729300.000000,-416677790.000000,-138952390.000000,5143820400000000.000000,9510510299999998949029799002112.000000,-116.011920,122158630000.000000,349461.630000,-121.066710,-121.213770
205888.690000,2.435927,1.435249,-2.103956,-21.664846,-5.289772,40.227594,-6.934114,12.715352,8.030299,377408.190000,468.543170,446.664210,152.458480,43.625394,70.533483,198.483130,85.175817,503.507740,292.679170,1道,1类,205917.540000,205925.270000,205917.540000,205917.540000,501464.650000,4943430300000.000000,2169238.100000,-165717200.000000,-107953990.000000,153439950.000000,-232380220000000.000000,-56315514000000000.000000,34.165366,42390153000.000000,205903.680000,29.021308,28.921563
