,pred_outp,pred_tz10
9001,4822.082622949343,2.4983421707533906
9002,45312.05778346787,2.4414696097791904
9003,4822.082622949343,2.4983421707533906
9004,45312.05778346787,2.4414696097791904
9005,23723.310161879097,2.5260280967970603
9006,11155.60385579366,2.5496603939361786
9007,48421.97568893747,2.5931203766895345
9008,11155.60385579366,2.5496603939361786
9009,11155.60385579366,2.5496603939361786
9010,36114.74817686228,2.5623242751458917
9011,26707.65156407792,2.5459432736316585
9012,26707.65156407792,2.5459432736316585
9013,32911.43297642771,2.4417641883098584
9014,14387.801592394308,2.5482225205068354
9015,23723.310161879097,2.5260280967970603
9016,23723.310161879097,2.5260280967970603
9017,11155.60385579366,2.5496603939361786
9018,32911.43297642771,2.4417641883098584
9019,17430.073645343855,2.446086993458714
9020,36114.74817686228,2.5623242751458917
9021,20561.140782087117,2.5379508465073144
9022,48421.97568893747,2.5931203766895345
9023,20561.140782087117,2.5379508465073144
9024,39066.31953252752,2.4111234477708825
9025,32911.43297642771,2.4417641883098584
9026,45312.05778346787,2.4414696097791904
9027,42278.59289531605,2.6104309412069373
9028,14387.801592394308,2.5482225205068354
9029,26707.65156407792,2.5459432736316585
9030,48421.97568893747,2.5931203766895345
9031,39066.31953252752,2.4111234477708825
9032,4822.082622949343,2.4983421707533906
9033,26707.65156407792,2.5459432736316585
9034,45312.05778346787,2.4414696097791904
9035,20561.140782087117,2.5379508465073144
9036,1623.6740666445137,2.5781732906482713
9037,45312.05778346787,2.4414696097791904
9038,23723.310161879097,2.5260280967970603
9039,48421.97568893747,2.5931203766895345
9040,8086.507921854281,2.52462467381692
9041,4822.082622949343,2.4983421707533906
9042,11155.60385579366,2.5496603939361786
9043,20561.140782087117,2.5379508465073144
9044,4822.082622949343,2.4983421707533906
9045,4822.082622949343,2.4983421707533906
9046,8086.507921854281,2.52462467381692
9047,48421.97568893747,2.5931203766895345
9048,29720.825768072267,2.4477895403436745
9049,17430.073645343855,2.446086993458714
9050,42278.59289531605,2.6104309412069373
9051,42278.59289531605,2.6104309412069373
9052,42278.59289531605,2.6104309412069373
9053,14387.801592394308,2.5482225205068354
9054,29720.825768072267,2.4477895403436745
9055,23723.310161879097,2.5260280967970603
9056,36114.74817686228,2.5623242751458917
9057,11155.60385579366,2.5496603939361786
9058,42278.59289531605,2.6104309412069373
9059,23723.310161879097,2.5260280967970603
9060,42278.59289531605,2.6104309412069373
9061,1623.6740666445137,2.5781732906482713
9062,4822.082622949343,2.4983421707533906
9063,23723.310161879097,2.5260280967970603
9064,1623.6740666445137,2.5781732906482713
9065,26707.65156407792,2.5459432736316585
9066,14387.801592394308,2.5482225205068354
9067,26707.65156407792,2.5459432736316585
9068,39066.31953252752,2.4111234477708825
9069,23723.310161879097,2.5260280967970603
9070,17430.073645343855,2.446086993458714
9071,17430.073645343855,2.446086993458714
9072,26707.65156407792,2.5459432736316585
9073,20561.140782087117,2.5379508465073144
9074,4822.082622949343,2.4983421707533906
9075,17430.073645343855,2.446086993458714
9076,4822.082622949343,2.4983421707533906
9077,42278.59289531605,2.6104309412069373
9078,32911.43297642771,2.4417641883098584
9079,23723.310161879097,2.5260280967970603
9080,48421.97568893747,2.5931203766895345
9081,45312.05778346787,2.4414696097791904
9082,8086.507921854281,2.52462467381692
9083,4822.082622949343,2.4983421707533906
9084,32911.43297642771,2.4417641883098584
9085,11155.60385579366,2.5496603939361786
9086,45312.05778346787,2.4414696097791904
9087,26707.65156407792,2.5459432736316585
9088,42278.59289531605,2.6104309412069373
9089,23723.310161879097,2.5260280967970603
9090,39066.31953252752,2.4111234477708825
9091,8086.507921854281,2.52462467381692
9092,32911.43297642771,2.4417641883098584
9093,4822.082622949343,2.4983421707533906
9094,32911.43297642771,2.4417641883098584
9095,26707.65156407792,2.5459432736316585
9096,17430.073645343855,2.446086993458714
9097,23723.310161879097,2.5260280967970603
9098,20561.140782087117,2.5379508465073144
9099,4822.082622949343,2.4983421707533906
9100,17430.073645343855,2.446086993458714
9101,4822.082622949343,2.4983421707533906
9102,1623.6740666445137,2.5781732906482713
9103,45312.05778346787,2.4414696097791904
9104,1623.6740666445137,2.5781732906482713
9105,29720.825768072267,2.4477895403436745
9106,26707.65156407792,2.5459432736316585
9107,29720.825768072267,2.4477895403436745
9108,45312.05778346787,2.4414696097791904
9109,42278.59289531605,2.6104309412069373
9110,8086.507921854281,2.52462467381692
9111,23723.310161879097,2.5260280967970603
9112,17430.073645343855,2.446086993458714
9113,48421.97568893747,2.5931203766895345
9114,48421.97568893747,2.5931203766895345
9115,20561.140782087117,2.5379508465073144
9116,42278.59289531605,2.6104309412069373
9117,45312.05778346787,2.4414696097791904
9118,23723.310161879097,2.5260280967970603
9119,8086.507921854281,2.52462467381692
9120,39066.31953252752,2.4111234477708825
9121,36114.74817686228,2.5623242751458917
9122,42278.59289531605,2.6104309412069373
9123,36114.74817686228,2.5623242751458917
9124,11155.60385579366,2.5496603939361786
9125,36114.74817686228,2.5623242751458917
9126,26707.65156407792,2.5459432736316585
9127,20561.140782087117,2.5379508465073144
9128,45312.05778346787,2.4414696097791904
9129,11155.60385579366,2.5496603939361786
9130,45312.05778346787,2.4414696097791904
9131,29720.825768072267,2.4477895403436745
9132,26707.65156407792,2.5459432736316585
9133,20561.140782087117,2.5379508465073144
9134,32911.43297642771,2.4417641883098584
9135,11155.60385579366,2.5496603939361786
9136,17430.073645343855,2.446086993458714
9137,29720.825768072267,2.4477895403436745
9138,39066.31953252752,2.4111234477708825
9139,20561.140782087117,2.5379508465073144
9140,17430.073645343855,2.446086993458714
9141,11155.60385579366,2.5496603939361786
9142,14387.801592394308,2.5482225205068354
9143,29720.825768072267,2.4477895403436745
9144,42278.59289531605,2.6104309412069373
9145,23723.310161879097,2.5260280967970603
9146,17430.073645343855,2.446086993458714
9147,36114.74817686228,2.5623242751458917
9148,26707.65156407792,2.5459432736316585
9149,23723.310161879097,2.5260280967970603
9150,23723.310161879097,2.5260280967970603
9151,11155.60385579366,2.5496603939361786
9152,39066.31953252752,2.4111234477708825
9153,8086.507921854281,2.52462467381692
9154,39066.31953252752,2.4111234477708825
9155,26707.65156407792,2.5459432736316585
9156,32911.43297642771,2.4417641883098584
9157,20561.140782087117,2.5379508465073144
9158,4822.082622949343,2.4983421707533906
9159,17430.073645343855,2.446086993458714
9160,4822.082622949343,2.4983421707533906
9161,45312.05778346787,2.4414696097791904
9162,48421.97568893747,2.5931203766895345
9163,8086.507921854281,2.52462467381692
9164,17430.073645343855,2.446086993458714
9165,29720.825768072267,2.4477895403436745
9166,11155.60385579366,2.5496603939361786
9167,39066.31953252752,2.4111234477708825
9168,20561.140782087117,2.5379508465073144
9169,45312.05778346787,2.4414696097791904
9170,8086.507921854281,2.52462467381692
9171,32911.43297642771,2.4417641883098584
9172,26707.65156407792,2.5459432736316585
9173,36114.74817686228,2.5623242751458917
9174,42278.59289531605,2.6104309412069373
9175,48421.97568893747,2.5931203766895345
9176,11155.60385579366,2.5496603939361786
9177,36114.74817686228,2.5623242751458917
9178,14387.801592394308,2.5482225205068354
9179,8086.507921854281,2.52462467381692
9180,23723.310161879097,2.5260280967970603
9181,36114.74817686228,2.5623242751458917
9182,45312.05778346787,2.4414696097791904
9183,4822.082622949343,2.4983421707533906
9184,29720.825768072267,2.4477895403436745
9185,17430.073645343855,2.446086993458714
9186,39066.31953252752,2.4111234477708825
9187,17430.073645343855,2.446086993458714
9188,1623.6740666445137,2.5781732906482713
9189,48421.97568893747,2.5931203766895345
9190,45312.05778346787,2.4414696097791904
9191,48421.97568893747,2.5931203766895345
9192,39066.31953252752,2.4111234477708825
9193,39066.31953252752,2.4111234477708825
9194,20561.140782087117,2.5379508465073144
9195,11155.60385579366,2.5496603939361786
9196,8086.507921854281,2.52462467381692
9197,14387.801592394308,2.5482225205068354
9198,39066.31953252752,2.4111234477708825
9199,1623.6740666445137,2.5781732906482713
9200,4822.082622949343,2.4983421707533906
9201,11155.60385579366,2.5496603939361786
9202,1623.6740666445137,2.5781732906482713
9203,23723.310161879097,2.5260280967970603
9204,26707.65156407792,2.5459432736316585
