,original_index,time_center,true_P1_output1,true_P2_output2,pred_P1_output1,pred_P2_output2
0,1081,70.5,7.42738312122992e-09,1.84617671746185e-08,-0.012338455944236326,-0.012338456142831689
1,1082,70.75,5.9937205508089e-09,1.78170949550976e-08,-0.012488209719882182,-0.012488209927437044
2,1083,71.0,2.08038476853096e-08,3.05924033303926e-08,0.014128100315912828,0.014128097403043327
3,1084,71.25,6.47586313062536e-09,1.11477467352712e-08,0.001662168570372824,0.0016621688706282
4,1085,71.5,3.86214853942362e-09,6.223100417826651e-09,-0.015325343955498116,-0.015325340553397737
5,1086,71.75,1.55552235273618e-08,2.67554090622441e-08,-0.00497094573064194,-0.004970943980505016
6,1087,72.0,3.47175145482097e-08,5.38938249186468e-09,-0.014957201376238238,-0.014957199865752724
7,1088,72.25,7.00381714105578e-08,9.286255209507951e-09,-0.015932110372460784,-0.015932109517813764
8,1089,72.5,1.38476927243153e-08,3.0463350605936104e-09,0.013827330162101692,0.013827327993137573
9,1090,72.75,5.27972731042033e-08,5.93771695510862e-08,-0.0031585309463664224,-0.003158531199929815
10,1091,73.0,9.97455736626369e-08,9.25339432846323e-09,-0.024740643546240726,-0.024740641039943778
11,1092,73.25,3.72306912451878e-08,2.52278923135507e-08,0.01690924477648581,0.01690924322555354
12,1093,73.5,1.90570024086686e-08,1.6945422730785e-08,0.03222114844552637,0.03222114628700101
13,1094,73.75,6.18604216575282e-09,8.32906599855812e-09,0.01148057700663907,0.01148057676383818
14,1095,74.0,1.03499878023293e-08,1.26891388202576e-08,0.007172148433473691,0.007172148389647859
15,1096,74.25,5.5186498222171205e-09,6.14118989972437e-08,0.010234293853459864,0.010234292218531227
16,1097,74.5,2.79368227720185e-08,3.83185945559862e-08,0.00933988249550799,0.009339879559259856
17,1098,74.75,2.83685824222997e-08,1.3508866711122e-08,-0.005769306503382143,-0.005769304930942187
18,1099,75.0,4.40173412990473e-08,1.71786012399484e-08,-0.007465947320942856,-0.007465946477169361
19,1100,75.25,3.84264660746121e-08,1.76215658084084e-08,0.016673164853308275,0.01667316315917544
20,1101,75.5,5.78621837226585e-08,5.6127774801108605e-09,0.025819534362875984,0.02581953315209251
21,1102,75.75,5.91775437048583e-08,1.66567778628941e-08,0.022840549778328167,0.022840549692882295
22,1103,76.0,2.21825551905806e-08,3.36168212139496e-08,0.022575530540158706,0.022575530949189737
23,1104,76.25,2.93752313542371e-08,6.91526755424509e-09,0.014560528223122926,0.014560527352094788
24,1105,76.5,4.43813368379844e-08,2.6232823227935e-08,0.003752524438883409,0.003752524064153384
25,1106,76.75,3.771858342682611e-09,1.42610880198021e-08,0.013143512963911252,0.013143514087289976
26,1107,77.0,2.30753159173812e-08,2.92922731034484e-08,0.01059006360102055,0.01059006521410577
27,1108,77.25,3.25992559679223e-08,7.966624882266851e-09,0.003942970059317208,0.003942971328343869
28,1109,77.5,3.49720734425571e-08,5.346064792955561e-09,0.0033066014519120834,0.003306603711436207
29,1110,77.75,2.59115931094462e-08,1.81350642939961e-08,-0.01138757792252898,-0.011387575475132028
30,1111,78.0,1.18756340978484e-08,3.11427432365976e-09,-0.02383248182391773,-0.023832480020790747
31,1112,78.25,6.146043425557651e-09,2.24183249942382e-08,-0.017722605404323577,-0.017722604452588442
32,1113,78.5,1.60410562547558e-08,8.569646442798751e-09,-0.004817939057455423,-0.004817939176975372
33,1114,78.75,3.71139742396576e-09,1.19896239254954e-08,-0.0010767253407966138,-0.0010767251036800651
34,1115,79.0,5.793146853206651e-09,1.20901328332756e-08,-0.007814273608945932,-0.007814270732253714
35,1116,79.25,6.8535925492006405e-09,8.58238145953299e-08,-0.01540046769719039,-0.015400463677833987
36,1117,79.5,2.22856388548521e-08,6.56129922088357e-08,-0.007211278507897045,-0.0072112786814266805
37,1118,79.75,4.19803966174925e-08,6.50066703757567e-08,-0.011077297046039103,-0.011077296241323253
38,1119,80.0,7.10699946345381e-08,1.50967647492249e-08,-0.0010148454280538566,-0.001014842162056162
39,1120,80.25,9.992055531545741e-09,9.51791740393951e-09,0.015103401761233037,0.01510340097963514
40,1121,80.5,1.30047136808386e-08,1.08466877388923e-08,-0.0011674604430607083,-0.001167462251024709
41,1122,80.75,3.20002065990577e-08,2.32469933123961e-08,0.005968494069603647,0.00596849277807765
42,1123,81.0,2.60197147134372e-08,2.25661649258764e-08,-0.003867127239627788,-0.0038671277172936946
43,1124,81.25,1.98180165404945e-08,2.24842837134234e-08,-0.011568576314000545,-0.01156857734168959
44,1125,81.5,8.008313379252181e-09,3.94629542341512e-09,0.00901347161078947,0.009013471875535473
45,1126,81.75,3.40502213716429e-08,3.0431980442300804e-09,0.021086432368596864,0.02108643530105736
46,1127,82.0,4.702603548248481e-09,2.49870330858784e-08,0.02658260765838749,0.02658260917168853
47,1128,82.25,1.6663743280186201e-09,1.64959318356258e-08,0.004867540957980143,0.0048675387358043665
48,1129,82.5,2.34961457675997e-08,4.42775037728349e-08,-0.011496468790327175,-0.011496471691768484
49,1130,82.75,3.85659035614566e-09,4.69034123335387e-08,-0.010755912652518962,-0.010755911599515056
50,1131,83.0,4.42777335673898e-10,2.37961700708723e-08,-0.007856164148885458,-0.007856163029575924
51,1132,83.25,4.86388372379683e-08,2.00550458938077e-08,-0.0009572960627362015,-0.0009572952747922692
52,1133,83.5,1.97080948156348e-08,7.58062096232739e-08,0.001773480158037799,0.0017734804600770815
53,1134,83.75,8.91507428721475e-10,1.78222478466521e-08,0.021637483085012565,0.02163747931221227
54,1135,84.0,6.01909414523016e-08,6.87517308920175e-09,0.014374188377054953,0.01437418764297771
55,1136,84.25,6.73992740390033e-08,3.31007910708075e-08,-0.0068222116841409886,-0.0068222066335419385
56,1137,84.5,2.70857526007901e-08,6.68342545185682e-08,-0.010180759900940473,-0.010180755095376082
57,1138,84.75,3.3172063323332204e-09,3.90538859826607e-08,-0.0009299374141762407,-0.0009299352097498215
58,1139,85.0,4.2244256871568e-09,2.8311920479206e-08,0.0196053727187806,0.019605374035298606
59,1140,85.25,3.61895034861474e-08,1.10463694113279e-08,0.01578428135209231,0.01578428201892823
